AlertID,Vin,Vehicle Number,Alert Subject,FMI,SPN,Alert Date,Estimated Cost of Repair
68381de91f0712cf485bf2f9,1NPCLH0X9GD360153,3056,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 8:42,15000
68381dee1f0712cf485bf2fb,1M2TE1GC8MM005235,1281,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 8:42,1500
68381e60102902b4f4e7b389,3BPDXK0X0KF161684,1358,Vehicle Alert - DPF Filter Plugging,15,3251,5/29/2025 8:44,15000
68381e67ca33cff86dfeef18,1M2TE1GC1KM002903,2415,Vehicle Alert - Fan Control Circuit Concern,5,647,5/29/2025 8:44,2500
68381e67ca33cff86dfeef1a,1M2TE1GC6PM008946,1237,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 8:44,4500
68381e76ed0da60901de7b52,1M2TE1GC7MM006165,1234,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 8:44,1500
68381e7fca33cff86dfeef1c,1M2TE1GC3PM009228,1107,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 8:44,4500
68381edc102902b4f4e7b38b,1NPCLK0X8HD414248,3086,Vehicle Alert - Low Coolant Level,18,111,5/29/2025 8:46,15000
68381f4fed0da60901de7b56,1NPSLP0X5DD196529,3103,Vehicle Alert - DPF Filter Plugging,16,3251,5/29/2025 8:48,2200
68381f61ca33cff86dfeef20,1M2GR2GC4LM014007,3518,Vehicle Alert - Fan Control Circuit Concern,4,647,5/29/2025 8:48,3500
68381fc8ed0da60901de7b58,1M2LR1GCXMM004933,2437,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 8:50,4500
68381ff7ca33cff86dfeef22,1M2TE1GC7MM006019,1319,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 8:51,1500
68382043ca33cff86dfeef26,1NPSXHEX4ED244560,3049,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 8:52,5000
68382044102902b4f4e7b38d,1NPCLH0X9GD360153,3056,Vehicle Alert - Engine Cylinder Miss Fire,31,1323,5/29/2025 8:52,12000
68382074e775a2f3b3d24c03,1M2AV04C6HM017332,1318,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 8:53,4500
683820cbca33cff86dfeef28,3BPZL70X4HF174185,1302,Vehicle Alert - Water in Fuel System Fault,3,97,5/29/2025 8:54,4500
68382135102902b4f4e7b393,1M2TE1GC8MM005977,1227,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 8:56,1500
68382145ca33cff86dfeef2a,1M2TE1GC2MM005389,1253,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 8:56,1500
6838215be775a2f3b3d24c05,1M2AV02C6KM019964,1168,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 8:56,4500
6838215ce775a2f3b3d24c07,1M2AX13C3GM034699,3031,Vehicle Alert - Fan Control Circuit Concern,5,647,5/29/2025 8:57,4800
683821b5e775a2f3b3d24c09,1M2LR1GC9KM002121,2490,Vehicle Alert - Fan Control Circuit Concern,5,647,5/29/2025 8:58,4500
68382227ca33cff86dfeef2c,5VCACD8F8DH216037,2407,Vehicle Alert - Low Coolant Level,17,111,5/29/2025 9:00,3200
68382251ca33cff86dfeef2e,1NPSXHEX2ED244542,3045,Vehicle Alert - Engine Cylinder Miss Fire,31,1323,5/29/2025 9:01,2500
68382251ed0da60901de7b62,1M2AX13C0JM043058,3031,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:01,4500
683822a2ca33cff86dfeef30,1M2AX13CXEM026001,3053,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:02,4500
6838240eca33cff86dfeef36,1M2AV02C6GM013816,1263,Vehicle Alert - Fan Control Circuit Concern,5,647,5/29/2025 9:08,2500
68382418ed0da60901de7b6a,1M2AX13C7HM038949,3205,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:08,15000
6838241fe775a2f3b3d24c13,1M2TE1GC9NM008100,1216,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 9:08,4500
68382420102902b4f4e7b3a1,1M2AX13C7GM034687,3018,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:08,4500
6838242b102902b4f4e7b3a3,5VCACLUF3FH219480,1298,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 9:08,15000
68382482102902b4f4e7b3a5,2NP2HJ7X6MM751227,2011,Vehicle Alert - Water in Fuel System Fault,3,97,5/29/2025 9:10,4500
68382490ca33cff86dfeef3a,1M2AX13C2HM039197,3078,Vehicle Alert - Fan Control Circuit Concern,5,647,5/29/2025 9:10,2200
68382506ed0da60901de7b6c,1NPCLH0X9GD360153,3056,Vehicle Alert - Engine Cylinder Miss Fire,31,1325,5/29/2025 9:12,4500
68382510ca33cff86dfeef42,3BPZX20X2EF245094,2242,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 9:12,8000
683825a5e775a2f3b3d24c1d,1M2AU02C6EM008857,2216,Vehicle Alert - Transmission Oil Temperature,15,177,5/29/2025 9:15,17000
683825f0e775a2f3b3d24c1f,1M2LR1GC7KM002134,2219,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 9:16,4500
68382619ca33cff86dfeef4a,1M2AX13CXFM027277,3027,Vehicle Alert - Fan Control Circuit Concern,4,647,5/29/2025 9:17,4500
68382691ca33cff86dfeef4c,5VCACLLE8CH213727,1304,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 9:19,12000
68382699e775a2f3b3d24c25,5VCACDKF8AH210470,2414,Vehicle Alert - DPF Filter Plugging,16,3251,5/29/2025 9:19,15000
683826deed0da60901de7b7a,5VCACD8F8DH216037,2407,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 9:20,20000
68382703102902b4f4e7b3b1,1M2GR2GC3PM032245,3029,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 9:21,2000
68382707e775a2f3b3d24c29,1M2TE1GC0LM003316,2128,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:21,4500
68382711ca33cff86dfeef50,1NPCLH0X1FD300771,3052,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 9:21,5000
68382768102902b4f4e7b3b9,1M2TE1GCXNM006663,2156,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 9:22,15000
68382769ed0da60901de7b8a,3BPZX20XXEF244064,1270,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 9:22,2500
6838276ded0da60901de7b8c,1M2TE2GC0PM010150,1229,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:22,4500
683827dd102902b4f4e7b3bb,3BPDL70X2JF161354,1268,Vehicle Alert - Water in Fuel System Fault,3,97,5/29/2025 9:24,4500
683827e5102902b4f4e7b3bd,1M2AV02C4JM017497,1246,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 9:24,15000
6838284ae775a2f3b3d24c2f,1M2TE2GC8SM012608,1377,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 9:26,12000
68382856ed0da60901de7b90,5VCACL8F8CH214006,1205,Vehicle Alert - Crankcase Pressure Severe Level,0,101,5/29/2025 9:26,7500
68382856ed0da60901de7b92,3BPDXK0X3PF114897,1221,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 9:26,15000
68382864e775a2f3b3d24c31,5VCACLUF5EH217602,1367,Vehicle Alert - Water in Fuel System Fault,3,97,5/29/2025 9:27,4500
68382873102902b4f4e7b3c5,1M2GR2GC4LM019045,3031,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:27,4500
683828da102902b4f4e7b3c9,1M2TE1GC4LM004789,2401,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:28,4500
68382945e775a2f3b3d24c33,1M2LR02CXHM002803,2221,Vehicle Alert - Fan Control Circuit Concern,5,647,5/29/2025 9:30,4500
6838295eed0da60901de7b94,1NPCLK0X0HD414258,3408,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,4,3226,5/29/2025 9:31,2000
683829c7ed0da60901de7b96,1M2AV02C4GM015824,1239,Vehicle Alert - Fan Control Circuit Concern,4,647,5/29/2025 9:32,2500
683829d3102902b4f4e7b3cf,1NPSLP0X7DD208003,3109,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 9:33,4500
68382a38ed0da60901de7b98,5VCACLKF29H209594,2417,Vehicle Alert - DPF Filter Plugging,15,3251,5/29/2025 9:34,15000
68382a40ca33cff86dfeef60,1M2TE1GC8NM006659,1065,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:34,15000
68382a48102902b4f4e7b3d3,5VCACSVF7GH221520,2286,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 9:35,2000
68382a5fed0da60901de7b9a,1M2TE1GC8LM003340,2123,Vehicle Alert - Fan Control Circuit Concern,5,647,5/29/2025 9:35,4800
68382aabed0da60901de7ba0,1M2TE1GC8MM006188,1285,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:36,1500
68382ab6ca33cff86dfeef64,3BPDLK0XXSF735963,5869,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 9:36,4500
68382ac2e775a2f3b3d24c41,1NKZL40XXGJ109992,3004,Vehicle Alert - Low Coolant Level,17,111,5/29/2025 9:37,12000
68382ac2ca33cff86dfeef66,1M2AV02C8FM013539,3075,Vehicle Alert - Fan Control Circuit Concern,5,647,5/29/2025 9:37,2500
68382b19102902b4f4e7b3d9,1M2TE7GCXRM001858,2548,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 9:38,25000
68382b1fca33cff86dfeef6a,5VCACDVF5GH221687,2461,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 9:38,2000
68382b1fed0da60901de7ba2,5VCACL8F9BH212733,2026,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 9:38,15000
68382b29ca33cff86dfeef6c,5VCACDVF0HH223199,2463,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 9:38,18200
68382b29ca33cff86dfeef6e,5VCACL8F3BH212730,2022,Vehicle Alert - Low Coolant Level,18,111,5/29/2025 9:38,4500
68382b4fca33cff86dfeef70,1M2TE1GC5LM004834,1204,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:39,4500
68382b96ca33cff86dfeef72,1M2LR1GC2PM008320,2252,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:40,15000
68382ba1ed0da60901de7ba6,1M2TE1GC7PM008955,1306,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:40,4500
68382c12102902b4f4e7b3dd,1M2TE1GC0LM004658,2458,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:42,4500
68382c13102902b4f4e7b3df,1M2TE1GC2NM006303,1283,Vehicle Alert - Fan Control Circuit Concern,4,647,5/29/2025 9:42,4500
68382c19102902b4f4e7b3e1,1M2AX13C5HM035175,3478,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:42,15000
68382c23ca33cff86dfeef76,5VCACLVF1EH216932,1270,Vehicle Alert - Low Coolant Level,18,111,5/29/2025 9:42,2500
68382c87e775a2f3b3d24c49,1FVHCYBS1CHBJ2505,2105,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 9:44,15000
68382c87ca33cff86dfeef78,1M2AX13C1GM035155,3062,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:44,4500
68382c88102902b4f4e7b3e3,3BPZL20X0DF209575,117,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 9:44,15000
68382cb0ca33cff86dfeef7a,3BPZH58X5CF138783,2038,Vehicle Alert - Water in Fuel System Fault,15,97,5/29/2025 9:45,2500
68382cb2ca33cff86dfeef7c,5VCACLLE7CH214366,1204,Vehicle Alert - High Coolant Temperature,16,110,5/29/2025 9:45,15000
68382cb8ed0da60901de7bb2,1M2TE1GC2MM006171,1215,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:45,1500
68382cbced0da60901de7bb4,3BPDXK0X1PF113425,1370,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 9:45,15000
68382cc1ca33cff86dfeef7e,1M2LR1GCXLM003263,2442,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:45,4500
68382cc3ca33cff86dfeef80,2NP3LJ0XXGM364701,2316,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 9:45,20000
68382cc3e775a2f3b3d24c4b,1M2AU02C9FM008885,2478,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 9:45,4500
68382d1a102902b4f4e7b3e5,1M2TE2GC7KM002040,1352,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:47,4500
68382d22102902b4f4e7b3e7,1NPSLP0XXFD286469,3094,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,4,3226,5/29/2025 9:47,2500
68382d2cca33cff86dfeef84,1FVACWDT0BDAW3573,2012,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 9:47,15000
68382d36ca33cff86dfeef86,1M2AU02C2GM009765,2276,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 9:47,15000
68382d8fed0da60901de7bbc,1M2AX13C5FM029101,3063,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:49,4500
68382d9cca33cff86dfeef88,1M2TE1GC7LM004687,1302,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 9:49,7500
68382e19102902b4f4e7b3f5,1M2AX13C7HM037932,3422,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:51,15000
68382ea0ed0da60901de7bc2,1M2TE1GC9LM004545,1257,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:53,4500
68382ef3ca33cff86dfeef90,1M2AV02C1FM011762,1271,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 9:54,4500
68382f18ca33cff86dfeef92,5VCACDKF1AH210469,2414,Vehicle Alert - Turbo VGT Actuator Concern,9,641,5/29/2025 9:55,2600
68382f1c102902b4f4e7b3fb,1M2AX13C1JM043215,3030,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:55,4500
68382f64ed0da60901de7bc4,1M2TE1GC2MM005232,1252,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 9:56,1500
68382f86e775a2f3b3d24c59,5VCACSUF6GH221770,2379,Vehicle Alert - Low Coolant Level,18,111,5/29/2025 9:57,2500
68382f8aed0da60901de7bc6,3BPDL70X0LF106663,1271,Vehicle Alert - Water in Fuel System Fault,15,97,5/29/2025 9:57,15000
68382fdc102902b4f4e7b401,1M2AV02C2AM006885,1242,Vehicle Alert - Fuel Rail Pressure Low,1,157,5/29/2025 9:58,2400
68383006e775a2f3b3d24c5d,2NKHHM7X7DM368172,1120,Vehicle Alert - DPF Filter Plugging,16,3251,5/29/2025 9:59,2500
68383006e775a2f3b3d24c5e,2NKHHM7X7DM368172,1120,Vehicle Alert - Crankcase Pressure Severe Level,0,101,5/29/2025 9:59,15000
6838305be775a2f3b3d24c61,1M2TE1GC5MM005550,2416,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 10:00,1500
6838305ced0da60901de7bcc,3BPDXK0X5KF105658,2457,Vehicle Alert - Engine Temperature,16,175,5/29/2025 10:01,2500
6838305d102902b4f4e7b403,3BPDXK0XXJF161612,1253,Vehicle Alert - High Coolant Temperature,16,110,5/29/2025 10:01,15000
683830cee775a2f3b3d24c63,1M2AX13C0EM026007,3415,Vehicle Alert - Fan Control Circuit Concern,5,647,5/29/2025 10:02,2500
683830cf102902b4f4e7b407,5VCACLVF7GH220051,1303,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 10:02,2000
683830d2e775a2f3b3d24c65,5VCACLVFXEH217481,1293,Vehicle Alert - Low Coolant Level,18,111,5/29/2025 10:02,2500
68383141ed0da60901de7bd0,1M2AV17C2HM011920,1322,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 10:04,4800
68383141ed0da60901de7bd2,1M2AX13C5HM039405,3130,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 10:04,15000
68383144ca33cff86dfeef9e,1M2AX13C6HM039428,3425,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 10:04,15000
68383179ca33cff86dfeefa0,3BPDXK0X6PF113405,1306,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 10:05,15000
6838317f102902b4f4e7b40d,3BPZL20X2HF174303,1264,Vehicle Alert - Fan Control Circuit Concern,3,647,5/29/2025 10:05,2500
683831d7ed0da60901de7bdc,5VCACSVF9FH219430,2220,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 10:07,15000
683831e4ed0da60901de7bde,5VCACSVFXEH217474,2217,Vehicle Alert - Engine Protection Torque Derate Condition Exists,31,1569,5/29/2025 10:07,15000
683831eee775a2f3b3d24c6d,1M2LR2GC4RM008893,2333,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 10:07,12000
68383243102902b4f4e7b419,3BPDLK0X4RF117807,2137,Vehicle Alert - Engine Cylinder Miss Fire,31,1322,5/29/2025 10:09,20000
683832b1e775a2f3b3d24c75,1M2TE2GC2LM004389,1319,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 10:10,4500
683832bded0da60901de7bea,1M2AX13C4GM031617,3051,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 10:11,4500
683832c1ca33cff86dfeefa4,1M2LR1GCXLM003666,2366,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 10:11,15000
683832dbca33cff86dfeefa6,1M2AX13CXGM032772,3151,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 10:11,4500
683832dc102902b4f4e7b41b,1M2AV02C2AM006885,1242,Vehicle Alert - Low Coolant Level,1,111,5/29/2025 10:11,5000
683832e1ed0da60901de7bec,1M2LR1GC4KM002236,2401,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 10:11,4500
68383335e775a2f3b3d24c77,1M2AX13C7JM043042,3441,Vehicle Alert - Aftertreatment Outlet NOx Sensor Concern,13,3226,5/29/2025 10:13,4500
